epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.367,1.79243,2.07998,1.20102,0.61088,0.46682,0.4735,0.21311,1.77911,1.60928,1.18253,0.000552817,0.000552817,0.000552817
2,437.819,1.76438,1.53961,1.22247,0.41848,0.23514,0.2193,0.09116,1.89384,1.67608,1.24665,0.00109751,0.00109751,0.00109751
3,695.413,1.77589,1.40935,1.24542,0.50887,0.28688,0.24414,0.11683,1.79677,1.41076,1.23053,0.0016312,0.0016312,0.0016312
4,946.35,1.71862,1.2786,1.21081,0.55344,0.34542,0.32323,0.1595,1.69829,1.24659,1.17428,0.00161749,0.00161749,0.00161749
5,1222.85,1.70426,1.1766,1.20028,0.54427,0.50384,0.4613,0.2502,1.6721,1.27643,1.17454,0.00160099,0.00160099,0.00160099
6,1493.84,1.67486,1.12594,1.19116,0.57511,0.67539,0.61256,0.28593,1.78802,1.30291,1.20255,0.00158448,0.00158448,0.00158448
7,1745.71,1.65057,1.10839,1.17292,0.64075,0.73719,0.68181,0.32891,1.73556,1.09304,1.18406,0.00156798,0.00156798,0.00156798
8,1991.37,1.60916,1.04792,1.15983,0.69861,0.68475,0.73436,0.37099,1.66772,0.9692,1.13975,0.00155148,0.00155148,0.00155148
9,2205.48,1.59839,0.99389,1.14062,0.70426,0.70025,0.68925,0.35334,1.62401,0.93674,1.13107,0.00153497,0.00153497,0.00153497
10,2432.46,1.59754,0.9971,1.15129,0.7147,0.77658,0.74585,0.36476,1.68448,0.98151,1.16642,0.00151847,0.00151847,0.00151847
11,2660.07,1.59991,0.98199,1.14402,0.74831,0.69262,0.69722,0.37668,1.58791,0.87669,1.10335,0.00150197,0.00150197,0.00150197
12,2879.65,1.55424,0.95876,1.12914,0.73917,0.77032,0.78086,0.4089,1.64492,0.96608,1.13747,0.00148546,0.00148546,0.00148546
13,3086.02,1.5544,0.94022,1.134,0.71077,0.71956,0.73183,0.38816,1.64533,1.00087,1.13943,0.00146896,0.00146896,0.00146896
14,3296.16,1.53073,0.91219,1.1216,0.77827,0.76988,0.79459,0.41435,1.65481,0.87238,1.13785,0.00145246,0.00145246,0.00145246
15,3509.36,1.50698,0.88116,1.1043,0.73129,0.75328,0.77915,0.41585,1.67396,0.86871,1.13206,0.00143595,0.00143595,0.00143595
16,3711.36,1.50681,0.88665,1.10749,0.74884,0.78482,0.77322,0.42101,1.59799,0.86296,1.11946,0.00141945,0.00141945,0.00141945
17,3896.45,1.46631,0.84754,1.0924,0.74615,0.71955,0.74534,0.39987,1.59925,0.85149,1.11777,0.00140295,0.00140295,0.00140295
18,4115.13,1.48217,0.84478,1.09424,0.72964,0.83802,0.77669,0.42041,1.615,0.87297,1.1157,0.00138644,0.00138644,0.00138644
19,4328.14,1.47879,0.84487,1.09322,0.75355,0.82496,0.81555,0.44109,1.60245,0.84349,1.11474,0.00136994,0.00136994,0.00136994
20,4572.14,1.45438,0.83016,1.08229,0.72065,0.80986,0.74593,0.3892,1.65622,0.84337,1.11777,0.00135344,0.00135344,0.00135344
21,4817.76,1.45977,0.81875,1.08697,0.71906,0.80344,0.78459,0.41495,1.58241,0.87383,1.12108,0.00133693,0.00133693,0.00133693
22,5028.3,1.44243,0.81044,1.07688,0.77452,0.80071,0.80782,0.44123,1.61425,0.8244,1.11782,0.00132043,0.00132043,0.00132043
23,5250.05,1.4479,0.80656,1.08122,0.75974,0.71868,0.77428,0.40934,1.65397,0.90042,1.13173,0.00130393,0.00130393,0.00130393
24,5462.73,1.43221,0.79496,1.07151,0.80331,0.79087,0.82431,0.45518,1.55995,0.78345,1.09059,0.00128742,0.00128742,0.00128742
25,5650.36,1.39818,0.78592,1.0604,0.70631,0.69314,0.67519,0.37117,1.6265,0.77882,1.1087,0.00127092,0.00127092,0.00127092
26,5847.23,1.41286,0.76972,1.05712,0.7782,0.76533,0.81188,0.44184,1.57152,0.78351,1.1059,0.00125442,0.00125442,0.00125442
27,6054.68,1.40626,0.7639,1.05574,0.80088,0.7372,0.79279,0.43548,1.57356,0.79998,1.09049,0.00123791,0.00123791,0.00123791
28,6249.05,1.39146,0.76639,1.05825,0.86994,0.72715,0.81632,0.46176,1.53609,0.74205,1.07924,0.00122141,0.00122141,0.00122141
29,6416.47,1.38041,0.74964,1.04133,0.81381,0.80447,0.83865,0.45217,1.5914,0.75869,1.10478,0.00120491,0.00120491,0.00120491
30,6607.5,1.38056,0.7507,1.04891,0.76553,0.79039,0.81262,0.45729,1.51411,0.78317,1.08601,0.0011884,0.0011884,0.0011884
31,6795.1,1.37491,0.7391,1.04047,0.77204,0.78926,0.82241,0.46375,1.56025,0.7685,1.0816,0.0011719,0.0011719,0.0011719
32,6969.28,1.36828,0.71953,1.03951,0.75819,0.7862,0.80239,0.44364,1.55688,0.75659,1.0916,0.0011554,0.0011554,0.0011554
33,7139.5,1.35262,0.72519,1.03376,0.75461,0.83238,0.81139,0.44801,1.55117,0.75992,1.08853,0.00113889,0.00113889,0.00113889
34,7319.92,1.35456,0.72142,1.04106,0.72542,0.81245,0.78073,0.43223,1.53492,0.75028,1.09534,0.00112239,0.00112239,0.00112239
35,7485.66,1.35568,0.71804,1.03644,0.71146,0.85477,0.80595,0.45375,1.51509,0.74898,1.08045,0.00110589,0.00110589,0.00110589
36,7682.08,1.31539,0.68877,1.02423,0.73948,0.8043,0.81346,0.46034,1.5577,0.76738,1.09161,0.00108938,0.00108938,0.00108938
37,7849.99,1.33633,0.70473,1.03306,0.75114,0.80589,0.79437,0.44695,1.51618,0.76834,1.0801,0.00107288,0.00107288,0.00107288
38,8002.3,1.31595,0.70577,1.03341,0.67462,0.85182,0.79593,0.44868,1.52639,0.77346,1.09221,0.00105638,0.00105638,0.00105638
39,8162,1.3186,0.69822,1.02748,0.68107,0.823,0.77439,0.44089,1.51629,0.78895,1.09305,0.00103987,0.00103987,0.00103987
40,8320.8,1.30318,0.6795,1.0292,0.66235,0.85348,0.74166,0.40753,1.55221,0.81057,1.10206,0.00102337,0.00102337,0.00102337
41,8491.37,1.3161,0.7008,1.02734,0.73072,0.7762,0.77944,0.43594,1.57384,0.76412,1.10944,0.00100687,0.00100687,0.00100687
42,8641.17,1.29411,0.67487,1.0226,0.68861,0.82408,0.74552,0.42283,1.51386,0.78246,1.09477,0.000990365,0.000990365,0.000990365
43,8799.03,1.29544,0.66687,1.01391,0.74014,0.80111,0.79227,0.44936,1.53523,0.75307,1.08447,0.000973861,0.000973861,0.000973861
44,8942.54,1.27989,0.67121,1.01178,0.75579,0.83829,0.8107,0.4548,1.54398,0.78807,1.11207,0.000957358,0.000957358,0.000957358
45,9091.85,1.28136,0.66987,1.01387,0.80191,0.79132,0.81362,0.45858,1.54988,0.73711,1.09079,0.000940855,0.000940855,0.000940855
46,9252.66,1.26304,0.65721,1.01021,0.66953,0.8474,0.74313,0.42322,1.51614,0.79494,1.09381,0.000924352,0.000924352,0.000924352
47,9405.81,1.26559,0.6459,1.00518,0.83618,0.77452,0.81733,0.47063,1.51543,0.71954,1.08143,0.000907848,0.000907848,0.000907848
48,9541.81,1.23757,0.63536,0.99498,0.77274,0.78059,0.81429,0.45734,1.5635,0.72465,1.09781,0.000891345,0.000891345,0.000891345
49,9682.04,1.24022,0.63049,1.0004,0.74221,0.86585,0.81398,0.45507,1.55504,0.73639,1.09993,0.000874842,0.000874842,0.000874842
