epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.515,1.66429,1.20156,1.1935,0.60259,0.53337,0.50619,0.23892,1.73813,1.38296,1.17005,0.000552817,0.000552817,0.000552817
2,839.349,1.79893,1.34435,1.25342,0.56574,0.47398,0.43878,0.20968,1.76564,1.39555,1.2279,0.00109743,0.00109743,0.00109743
3,1269.58,1.73871,1.23052,1.25296,0.55013,0.48531,0.47012,0.22624,1.81159,1.28611,1.2759,0.00163097,0.00163097,0.00163097
4,1786.71,1.70017,1.18362,1.23961,0.58383,0.70723,0.61036,0.29051,1.73152,1.10708,1.21924,0.00161714,0.00161714,0.00161714
5,2264.19,1.68449,1.12589,1.22862,0.59027,0.63828,0.56181,0.28219,1.68894,1.24648,1.22271,0.00160052,0.00160052,0.00160052
6,2731.84,1.5987,1.06607,1.17172,0.62204,0.6123,0.58485,0.29613,1.6786,1.1497,1.17829,0.0015839,0.0015839,0.0015839
7,3211.6,1.62395,0.99215,1.20666,0.72912,0.7459,0.75635,0.36692,1.73528,0.98344,1.19164,0.00156728,0.00156728,0.00156728
8,3662.2,1.63914,1.01994,1.1864,0.57819,0.64728,0.58883,0.28972,1.71489,1.06087,1.2025,0.00155066,0.00155066,0.00155066
9,4109.63,1.55923,0.95122,1.15765,0.70516,0.75822,0.75204,0.38852,1.64424,0.90638,1.15275,0.00153404,0.00153404,0.00153404
10,4552.32,1.57243,0.93157,1.16811,0.69627,0.76021,0.69874,0.35409,1.66314,0.88948,1.17085,0.00151742,0.00151742,0.00151742
11,4991.52,1.509,0.92155,1.16539,0.59658,0.78376,0.6715,0.34601,1.61231,0.98318,1.15004,0.0015008,0.0015008,0.0015008
12,5486.94,1.52909,0.88375,1.13163,0.62381,0.59521,0.56838,0.29642,1.65384,0.93223,1.15434,0.00148418,0.00148418,0.00148418
13,6025.47,1.51771,0.89468,1.12971,0.78471,0.82136,0.82438,0.4266,1.651,0.83179,1.14499,0.00146756,0.00146756,0.00146756
14,6519.81,1.51245,0.87899,1.14812,0.62689,0.66707,0.61584,0.3355,1.62603,0.89318,1.1349,0.00145094,0.00145094,0.00145094
15,6991.32,1.49918,0.86814,1.11391,0.7764,0.79322,0.78028,0.41592,1.63582,0.84619,1.15147,0.00143432,0.00143432,0.00143432
16,7495.59,1.43054,0.82748,1.08954,0.75257,0.66048,0.67768,0.37477,1.60637,0.83157,1.13604,0.0014177,0.0014177,0.0014177
17,7974.64,1.43783,0.83509,1.09708,0.76561,0.78502,0.78523,0.44477,1.56678,0.80896,1.12586,0.00140108,0.00140108,0.00140108
18,8437.24,1.4092,0.81762,1.10085,0.74682,0.80088,0.78095,0.44077,1.54003,0.79918,1.10617,0.00138446,0.00138446,0.00138446
19,8907.26,1.47691,0.82977,1.14828,0.63655,0.79981,0.67214,0.3611,1.65192,0.87021,1.14399,0.00136784,0.00136784,0.00136784
20,9385.04,1.44131,0.76876,1.0909,0.71813,0.74657,0.74872,0.41516,1.5635,0.81003,1.10975,0.00135122,0.00135122,0.00135122
21,9837.39,1.42763,0.78432,1.0864,0.70067,0.74326,0.76553,0.4134,1.56655,0.84513,1.1125,0.0013346,0.0013346,0.0013346
22,10299.7,1.44855,0.79741,1.10302,0.73981,0.76193,0.75894,0.43017,1.55218,0.81847,1.109,0.00131798,0.00131798,0.00131798
23,10756.1,1.40293,0.78185,1.08498,0.65538,0.66415,0.64723,0.36081,1.61226,0.90659,1.13831,0.00130136,0.00130136,0.00130136
24,11196.4,1.38948,0.75074,1.06718,0.78255,0.77772,0.78571,0.42742,1.57041,0.76541,1.12005,0.00128474,0.00128474,0.00128474
25,11622.7,1.37833,0.73716,1.0685,0.80676,0.74905,0.78895,0.43089,1.54349,0.77551,1.09755,0.00126812,0.00126812,0.00126812
26,12033.7,1.42286,0.74055,1.07114,0.75578,0.82019,0.81441,0.45895,1.54865,0.77659,1.11789,0.0012515,0.0012515,0.0012515
27,12458.5,1.36195,0.714,1.04177,0.75637,0.77885,0.78371,0.44623,1.56177,0.73827,1.10177,0.00123488,0.00123488,0.00123488
28,12872.2,1.36101,0.72089,1.07363,0.73965,0.79749,0.78672,0.44497,1.57874,0.76667,1.10954,0.00121826,0.00121826,0.00121826
29,13278.5,1.31234,0.68717,1.05204,0.7373,0.75934,0.74661,0.43977,1.51957,0.73631,1.08985,0.00120164,0.00120164,0.00120164
30,13695.3,1.35015,0.71653,1.0693,0.76423,0.77711,0.79235,0.45398,1.54456,0.78193,1.09242,0.00118502,0.00118502,0.00118502
31,14100.6,1.31427,0.68491,1.05079,0.76953,0.80844,0.80132,0.43778,1.57944,0.75831,1.11639,0.0011684,0.0011684,0.0011684
32,14488.6,1.30783,0.7156,1.05985,0.7811,0.75799,0.77747,0.44404,1.56453,0.74241,1.10974,0.00115178,0.00115178,0.00115178
33,14878.6,1.2953,0.6836,1.04011,0.63951,0.62933,0.60312,0.35088,1.53552,0.76903,1.08769,0.00113516,0.00113516,0.00113516
34,15252.1,1.30732,0.65708,1.04894,0.72212,0.77115,0.76968,0.44977,1.51079,0.75069,1.09335,0.00111854,0.00111854,0.00111854
35,15683.4,1.2587,0.66357,1.02181,0.76278,0.7956,0.77591,0.44838,1.54686,0.74074,1.09578,0.00110192,0.00110192,0.00110192
36,16081.1,1.24023,0.6544,1.0222,0.73781,0.77381,0.76276,0.44391,1.52273,0.73842,1.09365,0.0010853,0.0010853,0.0010853
37,16460.6,1.24148,0.64048,1.02189,0.75357,0.80123,0.77972,0.45329,1.52231,0.73754,1.08655,0.00106868,0.00106868,0.00106868
38,16880.7,1.28096,0.66457,1.00218,0.7141,0.83637,0.79464,0.45288,1.51133,0.75481,1.07762,0.00105206,0.00105206,0.00105206
39,17252.8,1.23419,0.63434,1.0245,0.69971,0.76186,0.7418,0.42783,1.55358,0.75904,1.10297,0.00103544,0.00103544,0.00103544
40,17640.4,1.26163,0.61213,1.01546,0.72947,0.78592,0.78454,0.45181,1.53279,0.74837,1.10448,0.00101882,0.00101882,0.00101882
41,18044.3,1.2443,0.64101,1.00041,0.73785,0.77581,0.76976,0.4396,1.55138,0.75938,1.0956,0.0010022,0.0010022,0.0010022
42,18439.9,1.23875,0.62837,1.01058,0.76958,0.82131,0.77987,0.44605,1.54546,0.74152,1.10682,0.00098558,0.00098558,0.00098558
43,18815,1.20819,0.62551,0.99872,0.74864,0.83323,0.8274,0.47104,1.55219,0.74956,1.10788,0.00096896,0.00096896,0.00096896
44,19169.8,1.18534,0.60259,1.01289,0.76683,0.7541,0.76291,0.43671,1.54166,0.7228,1.11983,0.00095234,0.00095234,0.00095234
45,19533.7,1.17493,0.61333,0.98814,0.77582,0.83387,0.81967,0.46793,1.52189,0.72619,1.10592,0.00093572,0.00093572,0.00093572
