epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,660.892,1.75723,1.2427,1.23851,0.56943,0.63462,0.55542,0.24665,1.73103,1.2272,1.24184,0.000553757,0.000553757,0.000553757
2,1415.58,1.78315,1.35221,1.32604,0.54776,0.45265,0.48049,0.22732,1.69921,1.48255,1.24826,0.00109839,0.00109839,0.00109839
3,2147.59,1.75226,1.25954,1.26074,0.61355,0.59915,0.57755,0.27477,1.70518,1.13496,1.26109,0.00163196,0.00163196,0.00163196
4,2864.48,1.73551,1.2152,1.26217,0.70634,0.61351,0.67675,0.32776,1.66374,1.07391,1.21595,0.00161724,0.00161724,0.00161724
5,3557.6,1.74046,1.21457,1.29979,0.66593,0.68316,0.65882,0.32327,1.644,1.09092,1.22794,0.00160065,0.00160065,0.00160065
6,4254.86,1.69875,1.15,1.26487,0.73737,0.7385,0.71832,0.35007,1.63546,0.93186,1.20428,0.00158407,0.00158407,0.00158407
7,4926.24,1.65482,1.03621,1.23433,0.70469,0.68605,0.71804,0.35653,1.63609,0.99626,1.19347,0.00156748,0.00156748,0.00156748
8,5659.39,1.67539,1.08563,1.2297,0.62892,0.73026,0.69206,0.35255,1.6001,0.93769,1.17892,0.00155089,0.00155089,0.00155089
9,6385.76,1.6138,1.00782,1.18397,0.7682,0.75705,0.77524,0.40427,1.54849,0.86573,1.15048,0.00153431,0.00153431,0.00153431
10,7100.28,1.64219,1.01026,1.19998,0.7776,0.7518,0.76271,0.37376,1.5746,0.89777,1.16116,0.00151772,0.00151772,0.00151772
11,7809.06,1.61675,0.98985,1.18474,0.77399,0.77139,0.787,0.40655,1.5473,0.8512,1.15328,0.00150113,0.00150113,0.00150113
12,8503.75,1.5162,0.87022,1.14736,0.79082,0.80587,0.8182,0.43302,1.52668,0.80031,1.1357,0.00148455,0.00148455,0.00148455
13,9191.3,1.56162,0.91699,1.17703,0.80097,0.80179,0.82392,0.42908,1.56912,0.83958,1.15662,0.00146796,0.00146796,0.00146796
14,9836.08,1.63556,0.93349,1.17519,0.79349,0.81112,0.81076,0.43803,1.54769,0.79973,1.14684,0.00145137,0.00145137,0.00145137
15,10472,1.53308,0.92924,1.15782,0.80862,0.81225,0.80411,0.43307,1.5443,0.79639,1.14614,0.00143479,0.00143479,0.00143479
16,11105.3,1.48242,0.86736,1.11961,0.75868,0.79453,0.81132,0.43677,1.52585,0.78388,1.12812,0.0014182,0.0014182,0.0014182
