epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.128,1.66429,1.20156,1.1935,0.56583,0.54128,0.5063,0.23764,1.73813,1.38296,1.17005,0.000552817,0.000552817,0.000552817
2,837.125,1.7832,1.29907,1.22674,0.59287,0.36577,0.37302,0.16321,1.811,1.4043,1.22864,0.00109751,0.00109751,0.00109751
3,1257.28,1.73757,1.23592,1.26662,0.56767,0.58033,0.54202,0.26011,1.77684,1.25959,1.2467,0.0016312,0.0016312,0.0016312
4,1751.29,1.73589,1.22359,1.23813,0.65913,0.55479,0.53732,0.26276,1.81328,1.17586,1.24872,0.00161749,0.00161749,0.00161749
5,2241.54,1.71706,1.11505,1.22869,0.5429,0.52821,0.49451,0.22785,1.8113,1.37176,1.24191,0.00160099,0.00160099,0.00160099
6,2717.06,1.65664,1.06706,1.18327,0.71268,0.76484,0.72253,0.34549,1.78801,1.06296,1.21461,0.00158448,0.00158448,0.00158448
7,3182.02,1.60939,0.98806,1.20576,0.7127,0.77933,0.74929,0.3753,1.67006,0.95024,1.16655,0.00156798,0.00156798,0.00156798
8,3638.64,1.63873,1.01671,1.18302,0.61378,0.6494,0.6376,0.3339,1.62135,1.06325,1.14654,0.00155148,0.00155148,0.00155148
9,4084.69,1.57286,0.94633,1.16181,0.66943,0.80982,0.719,0.37244,1.63781,0.91287,1.13948,0.00153497,0.00153497,0.00153497
10,4537.32,1.55794,0.93013,1.15731,0.7271,0.76737,0.74717,0.37803,1.69241,0.90021,1.16667,0.00151847,0.00151847,0.00151847
11,4958.7,1.50499,0.93066,1.14805,0.55017,0.68498,0.58086,0.31256,1.6295,0.98613,1.1392,0.00150197,0.00150197,0.00150197
12,5437.8,1.5503,0.87588,1.13598,0.71099,0.792,0.74456,0.38392,1.69283,0.88502,1.15043,0.00148546,0.00148546,0.00148546
13,5966.2,1.50274,0.87896,1.12709,0.75726,0.72137,0.74773,0.41185,1.59469,0.83297,1.12546,0.00146896,0.00146896,0.00146896
14,6463.22,1.50791,0.87613,1.14102,0.68411,0.68263,0.64674,0.36095,1.54945,0.85835,1.1122,0.00145246,0.00145246,0.00145246
15,6927.87,1.50914,0.85947,1.1095,0.6976,0.79054,0.72346,0.3852,1.62217,0.84378,1.12604,0.00143595,0.00143595,0.00143595
16,7447.14,1.40802,0.82822,1.07877,0.76393,0.83497,0.83538,0.45337,1.55425,0.79768,1.11393,0.00141945,0.00141945,0.00141945
17,7924.05,1.4221,0.82047,1.08416,0.70542,0.81701,0.78144,0.42229,1.57585,0.8273,1.11377,0.00140295,0.00140295,0.00140295
18,8375.33,1.4183,0.8151,1.10664,0.68297,0.67065,0.65285,0.36935,1.54237,0.83672,1.10187,0.00138644,0.00138644,0.00138644
19,8836.95,1.50327,0.81726,1.15356,0.70918,0.81863,0.76102,0.41544,1.62829,0.79079,1.1298,0.00136994,0.00136994,0.00136994
20,9313.91,1.43238,0.76875,1.09927,0.72073,0.80001,0.76139,0.42839,1.57533,0.8093,1.10472,0.00135344,0.00135344,0.00135344
21,9750.64,1.45445,0.80794,1.09488,0.60698,0.65532,0.61705,0.35252,1.51229,0.84874,1.09201,0.00133693,0.00133693,0.00133693
22,10204.7,1.42557,0.80692,1.0913,0.70887,0.82056,0.76281,0.42964,1.52422,0.79492,1.09122,0.00132043,0.00132043,0.00132043
23,10667.6,1.39579,0.7837,1.07947,0.69758,0.69681,0.70048,0.39061,1.59336,0.78289,1.10362,0.00130393,0.00130393,0.00130393
24,11106.6,1.39635,0.74727,1.06647,0.76215,0.79878,0.78652,0.42784,1.60517,0.77706,1.12756,0.00128742,0.00128742,0.00128742
