epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,539.977,1.78313,1.56513,1.24753,0.62768,0.62235,0.59284,0.27909,1.72654,1.50517,1.25184,0.000553757,0.000553757,0.000553757
2,984.092,1.79936,1.28954,1.28885,0.71712,0.67274,0.68663,0.31654,1.72906,1.1963,1.22224,0.00109836,0.00109836,0.00109836
3,1468.67,1.79147,1.29109,1.29713,0.57197,0.62063,0.57712,0.27126,1.71136,1.17172,1.245,0.00163189,0.00163189,0.00163189
4,1904.46,1.77722,1.23396,1.27943,0.74283,0.6983,0.72233,0.33974,1.73759,1.07625,1.2384,0.00161714,0.00161714,0.00161714
5,2325.2,1.74576,1.16952,1.25969,0.69143,0.70531,0.69464,0.34331,1.66752,1.06006,1.19509,0.00160052,0.00160052,0.00160052
6,2799.63,1.70153,1.15838,1.24284,0.65194,0.75232,0.69979,0.35765,1.61679,0.93939,1.17868,0.0015839,0.0015839,0.0015839
7,3312.4,1.68726,1.07385,1.22466,0.76279,0.74994,0.75853,0.38651,1.61771,0.92146,1.18696,0.00156728,0.00156728,0.00156728
8,3691.36,1.64834,1.0482,1.21497,0.78169,0.73696,0.77517,0.39828,1.62924,0.90597,1.18553,0.00155066,0.00155066,0.00155066
9,4073.73,1.65194,1.04881,1.21877,0.749,0.77543,0.77459,0.4106,1.56506,0.89416,1.16745,0.00153404,0.00153404,0.00153404
10,4437.31,1.61744,0.99459,1.20205,0.77021,0.69904,0.73488,0.37225,1.58057,0.88581,1.16533,0.00151742,0.00151742,0.00151742
11,4798.52,1.63092,1.00838,1.22057,0.79017,0.76471,0.80331,0.41453,1.53869,0.83316,1.13974,0.0015008,0.0015008,0.0015008
12,5182.15,1.58818,0.96472,1.18033,0.82448,0.78505,0.80865,0.44319,1.52314,0.81103,1.13356,0.00148418,0.00148418,0.00148418
13,5571.38,1.57916,0.94383,1.17284,0.78251,0.78124,0.78804,0.42151,1.55705,0.84168,1.14563,0.00146756,0.00146756,0.00146756
14,5957.93,1.57161,0.93064,1.16801,0.79673,0.78358,0.7837,0.42836,1.52652,0.79585,1.13343,0.00145094,0.00145094,0.00145094
15,6316.86,1.56261,0.89907,1.15826,0.78021,0.80823,0.77452,0.41106,1.51495,0.83297,1.13217,0.00143432,0.00143432,0.00143432
16,6682.08,1.55148,0.90891,1.15564,0.80228,0.79249,0.80325,0.43338,1.52314,0.80899,1.13926,0.0014177,0.0014177,0.0014177
17,7017.02,1.53928,0.87193,1.15283,0.84856,0.80757,0.83287,0.44971,1.51816,0.7739,1.13229,0.00140108,0.00140108,0.00140108
18,7358.46,1.53693,0.87399,1.15312,0.84253,0.82296,0.85556,0.46396,1.506,0.76789,1.11562,0.00138446,0.00138446,0.00138446
19,7671.21,1.52106,0.86645,1.13872,0.80609,0.83079,0.82248,0.45259,1.48671,0.76914,1.10815,0.00136784,0.00136784,0.00136784
20,8007.16,1.51121,0.86839,1.14007,0.81614,0.80004,0.82073,0.4438,1.52239,0.74568,1.10597,0.00135122,0.00135122,0.00135122
21,8328.11,1.50774,0.83492,1.13696,0.8381,0.8246,0.84633,0.46497,1.51895,0.73883,1.12015,0.0013346,0.0013346,0.0013346
22,8643.66,1.5102,0.84127,1.13766,0.83089,0.82292,0.85708,0.48808,1.4857,0.73311,1.11493,0.00131798,0.00131798,0.00131798
23,8931.27,1.50114,0.828,1.12981,0.81161,0.77298,0.83329,0.46581,1.49089,0.74702,1.10859,0.00130136,0.00130136,0.00130136
24,9241.79,1.49601,0.82189,1.13931,0.80682,0.83579,0.82899,0.46493,1.47608,0.71763,1.10519,0.00128474,0.00128474,0.00128474
25,9525.09,1.49018,0.80531,1.1252,0.81801,0.83616,0.83863,0.47449,1.46062,0.69439,1.0933,0.00126812,0.00126812,0.00126812
26,9791.5,1.48193,0.80015,1.12001,0.83554,0.82879,0.8524,0.46974,1.46265,0.6982,1.09426,0.0012515,0.0012515,0.0012515
27,10067.8,1.47444,0.80152,1.12163,0.81493,0.82408,0.82553,0.46277,1.46487,0.70384,1.10064,0.00123488,0.00123488,0.00123488
28,10350.2,1.45624,0.7937,1.1063,0.84516,0.84131,0.8608,0.49672,1.44868,0.69053,1.08797,0.00121826,0.00121826,0.00121826
29,10627.6,1.45504,0.77931,1.12051,0.81634,0.86057,0.84535,0.48351,1.45537,0.70061,1.09443,0.00120164,0.00120164,0.00120164
30,10901.2,1.43522,0.77596,1.10651,0.83168,0.83282,0.85418,0.49415,1.43912,0.70209,1.08471,0.00118502,0.00118502,0.00118502
31,11159,1.43905,0.75831,1.11057,0.82835,0.84062,0.84962,0.48751,1.42875,0.68146,1.08953,0.0011684,0.0011684,0.0011684
32,11416.6,1.44255,0.77406,1.11368,0.84438,0.84243,0.86496,0.50321,1.43265,0.66991,1.0845,0.00115178,0.00115178,0.00115178
33,11671.7,1.43295,0.76319,1.10685,0.86124,0.84616,0.86979,0.50561,1.42707,0.67207,1.08423,0.00113516,0.00113516,0.00113516
34,11914.1,1.41713,0.74091,1.10184,0.86048,0.85357,0.87545,0.51181,1.42768,0.66515,1.07354,0.00111854,0.00111854,0.00111854
35,12182.4,1.42567,0.74961,1.09615,0.86063,0.83287,0.85024,0.49123,1.45326,0.68124,1.08528,0.00110192,0.00110192,0.00110192
36,12449.4,1.42539,0.75137,1.10613,0.81024,0.84424,0.85297,0.49167,1.4293,0.67167,1.08574,0.0010853,0.0010853,0.0010853
